url_length,num_dots,https,suspicious_words,special_chars,label
20,2,0,False,0,0
48,2,0,False,0,0
65,3,1,False,0,0
28,3,0,False,0,0
60,2,1,False,0,0
36,3,1,False,0,0
35,2,1,False,0,0
21,2,0,False,0,0
50,3,1,False,0,0
34,2,1,False,0,0
30,2,0,False,0,0
79,5,1,False,0,0
35,2,0,False,0,0
25,1,1,False,0,0
38,2,1,False,0,0
49,1,1,False,0,0
33,2,0,False,0,0
31,3,0,False,0,0
28,2,0,True,0,0
26,2,0,False,0,0
30,1,1,False,0,0
43,4,0,False,0,0
35,2,0,False,0,0
35,2,1,False,0,0
34,2,1,False,0,0
35,3,0,False,0,0
24,1,0,False,0,0
31,1,1,False,0,0
39,4,0,False,0,0
28,2,0,False,0,0
111,3,1,False,0,0
34,2,1,False,0,0
18,2,0,False,0,0
48,2,0,False,0,0
27,2,0,False,0,0
39,2,1,False,0,0
33,2,1,False,0,0
25,2,0,False,0,0
26,2,1,False,0,0
27,3,0,False,0,0
29,2,0,True,0,0
25,2,0,False,0,0
53,4,1,True,0,0
27,2,1,False,0,0
45,2,1,False,0,0
29,2,0,False,0,0
54,2,1,False,0,0
32,1,1,False,0,0
28,1,0,False,0,0
73,3,1,True,0,0
34,3,0,False,0,0
21,2,0,False,0,0
48,2,1,True,0,0
57,2,0,False,0,0
30,3,0,False,0,0
31,2,0,False,0,0
37,2,1,False,0,0
32,2,1,False,0,0
26,2,0,False,0,0
56,3,1,False,0,0
82,3,1,False,0,0
20,1,1,False,0,0
24,2,0,False,0,0
65,4,1,False,2,0
64,2,1,False,0,0
27,2,0,False,0,0
22,2,0,False,0,0
23,2,0,False,0,0
23,2,0,False,0,0
46,3,0,False,0,0
29,3,0,False,0,0
58,4,1,False,0,0
39,2,0,False,0,0
94,2,1,False,0,0
52,2,0,False,0,0
31,2,1,False,0,0
108,2,1,True,5,0
32,3,0,False,0,0
25,1,0,False,0,0
27,2,0,True,0,0
56,3,1,False,0,0
120,5,0,False,3,0
26,2,0,False,0,0
32,2,1,False,0,0
23,2,0,False,0,0
39,3,0,False,0,0
31,3,0,False,0,0
37,2,0,True,0,0
20,1,0,False,0,0
42,2,1,False,0,0
37,2,1,False,0,0
62,2,1,False,0,0
23,2,0,False,0,0
91,2,1,False,5,0
21,2,0,False,0,0
26,2,1,False,0,0
32,2,0,False,0,0
32,2,0,False,0,0
69,2,1,False,0,0
59,2,1,True,0,0
40,3,0,False,0,0
78,2,1,False,0,0
18,1,0,False,0,0
22,2,1,False,0,0
21,2,0,False,0,0
31,2,1,False,0,0
256,10,0,True,12,0
86,2,1,False,2,0
31,2,0,False,0,0
28,3,0,False,0,0
137,5,0,False,2,0
31,3,0,False,0,0
41,2,1,False,0,0
46,2,1,False,0,0
29,2,0,False,0,0
116,2,1,False,0,0
44,2,1,False,0,0
24,2,0,False,0,0
28,3,0,False,0,0
21,2,0,False,0,0
24,2,0,False,0,0
32,2,1,False,0,0
92,4,1,False,0,0
24,2,0,False,0,0
35,2,1,False,0,0
26,2,0,False,0,0
23,2,0,False,0,0
22,2,0,False,0,0
28,3,0,False,0,0
89,2,1,False,0,0
55,2,1,False,0,0
32,3,0,False,0,0
32,2,0,False,0,0
64,2,1,False,0,0
51,2,0,False,0,0
34,2,0,False,0,0
52,2,1,False,0,0
15,2,0,False,0,0
39,2,1,False,0,0
22,3,0,False,0,0
30,2,0,False,0,0
37,2,1,False,0,0
32,2,0,False,0,0
26,2,0,False,0,0
24,2,0,False,0,0
27,2,0,False,0,0
26,1,1,False,0,0
