URL,url_length,num_digits,num_special_chars,num_subdomains,uses_https,has_phishing_keyword,has_risky_tld,typo_suspected,has_iframe,has_mouseover_script,redirect_count,domain_age_days,page_rank,has_ssl_certificate,dns_record_present,whois_update_days,hosting_country,ip_location_risk,click_rate,bounce_rate,avg_time_on_page,has_ip_address,url_entropy,url_has_port_number,url_is_shortened,is_phishing
http://secure-@m@zln.tk,23,0,5,0,0,1,1,0,1,0,1,185,0.25,0,1,89,US,0,0.22,0.79,282,0,4.06,0,0,1
https://www.amazon.org,22,0,2,1,1,0,0,0,0,0,1,3206,0.05,1,1,257,CN,1,0.55,0.31,155,0,3.79,0,0,0
http://update-p@yp@l.xyz,24,0,5,0,0,1,1,0,0,1,0,299,0.04,0,1,0,IN,0,0.13,0.85,149,1,3.8,0,0,1
https://www.apple.com,21,0,2,1,1,0,0,0,0,0,1,2254,0.51,1,1,240,RU,1,0.8,0.2,41,0,3.65,0,0,0
http://verify-@m@z1n.tk,23,1,5,0,0,1,1,0,1,1,1,97,0.19,0,1,88,IN,0,0.3,0.79,295,0,4.14,0,0,1
https://www.apple.org,21,0,2,1,1,0,0,0,0,0,2,3439,0.37,1,1,80,CN,1,0.19,0.1,118,0,3.65,0,0,0
http://login-gllgle.xyz,23,0,3,0,0,1,1,0,0,0,0,282,0.21,0,1,2,FR,0,0.12,0.56,35,0,3.8,0,0,1
https://www.facebook.org,24,0,2,1,1,0,0,0,0,0,0,3810,0.43,1,1,157,US,0,0.12,0.95,148,0,3.94,0,0,0
http://secure-@pple.gq,22,0,4,0,0,1,1,0,1,0,5,225,0.06,0,1,72,FR,0,0.43,0.42,238,0,3.85,0,0,1
https://www.google.co,21,0,2,1,1,0,0,0,0,0,1,1138,0.54,1,1,145,IN,0,0.1,0.55,49,0,3.56,0,0,0
http://update-netflix.xyz,25,0,3,0,0,1,1,0,0,0,5,183,0.22,0,1,12,CN,1,0.46,0.43,81,0,4.0,0,0,1
https://www.netflix.co,22,0,2,1,1,0,0,0,0,0,2,1591,0.4,1,1,288,CN,1,0.58,0.49,174,0,3.85,0,0,0
http://secure-@m@zzn.xyz,24,0,5,0,0,1,1,0,0,1,2,90,0.07,0,1,98,RU,1,0.17,0.66,162,0,4.05,0,0,1
https://www.amazon.com,22,0,2,1,1,0,0,0,0,0,0,1405,0.66,1,1,22,DE,0,0.26,0.24,221,0,3.7,0,0,0
http://login-netflix.tk,23,0,3,0,0,1,1,0,1,0,1,99,0.13,0,1,50,DE,0,0.36,0.42,201,0,3.83,0,0,1
https://www.microsoft.org,25,0,2,1,1,0,0,0,0,0,1,1283,0.43,1,1,220,DE,0,0.18,0.49,122,0,3.75,0,0,0
http://verify-g11gle.tk,23,2,3,0,0,1,1,0,0,0,2,73,0.06,0,1,51,DE,0,0.08,0.95,32,0,3.97,0,0,1
https://www.apple.net,21,0,2,1,1,0,0,0,0,0,2,941,0.3,1,1,198,US,0,0.67,0.18,141,0,3.43,0,0,0
http://login-netflix.gq,23,0,3,0,0,1,1,0,0,0,0,45,0.34,0,1,20,IN,0,0.32,0.92,233,0,3.88,0,0,1
https://www.microsoft.co,24,0,2,1,1,0,0,0,0,0,1,1702,0.29,1,1,246,CN,1,0.54,0.27,205,0,3.66,0,1,0
http://secure-gllgle.cf,23,0,3,0,0,1,1,0,1,0,0,153,0.13,0,1,21,FR,0,0.04,0.71,52,0,3.76,0,0,1
https://www.netflix.org,23,0,2,1,1,0,0,0,0,0,0,338,0.31,1,1,230,CN,1,0.58,0.15,117,0,3.94,0,0,0
http://update-netflix.tk,24,0,3,0,0,1,1,0,0,0,3,80,0.07,0,1,11,US,0,0.13,0.95,117,0,3.85,0,0,1
https://www.amazon.org,22,0,2,1,1,0,0,0,0,0,0,3543,0.75,1,1,272,US,0,0.61,0.68,55,0,3.79,0,0,0
http://verify-netflix.xyz,25,0,3,0,0,1,1,0,1,1,5,86,0.04,0,1,90,RU,1,0.37,0.43,77,0,3.97,0,0,1
https://www.google.org,22,0,2,1,1,0,0,0,0,0,2,1861,0.42,1,1,40,US,0,0.33,0.26,244,0,3.54,0,0,0
http://login-netflix.gq,23,0,3,0,0,1,1,0,1,1,0,133,0.01,0,1,13,IN,0,0.47,0.42,97,0,3.88,0,0,1
https://www.facebook.net,24,0,2,1,1,0,0,0,0,0,1,1809,0.55,1,1,60,IN,0,0.79,0.18,83,0,3.86,0,0,0
http://login-f@cebllk.gq,24,0,4,0,0,1,1,0,1,1,4,207,0.15,0,1,77,IN,0,0.36,0.72,257,0,4.14,0,0,1
https://www.google.net,22,0,2,1,1,0,0,0,0,0,0,18,0.68,1,1,34,US,0,0.68,0.69,250,0,3.57,0,0,0
http://login-micrzszft.gq,25,0,3,0,0,1,1,0,0,1,2,268,0.19,0,1,66,RU,1,0.07,0.65,65,0,4.13,0,0,1
https://www.facebook.co,23,0,2,1,1,0,0,0,0,0,2,3848,0.12,1,1,249,RU,1,0.4,0.38,288,0,3.76,0,0,0
http://secure-@pple.tk,22,0,4,0,0,1,1,0,1,1,0,6,0.02,0,1,70,US,0,0.32,0.78,264,0,3.72,0,0,1
https://www.amazon.co,21,0,2,1,1,0,0,0,0,0,0,879,0.43,1,1,121,DE,0,0.01,0.22,202,0,3.69,0,0,0
http://login-micrlslft.ml,25,0,3,0,0,1,1,0,0,0,0,92,0.34,0,1,89,DE,0,0.36,0.66,222,0,3.89,0,0,1
https://www.apple.net,21,0,2,1,1,0,0,0,0,0,1,1860,0.18,1,1,170,IN,0,0.54,0.7,222,0,3.43,0,0,0
http://login-f@cebllk.xyz,25,0,4,0,0,1,1,0,1,0,5,110,0.29,0,1,63,RU,1,0.31,0.74,3,0,4.29,0,0,1
https://www.netflix.org,23,0,2,1,1,0,0,0,0,0,1,1824,0.16,1,1,45,RU,1,0.23,0.4,160,0,3.94,0,0,0
http://verify-gzzgle.xyz,24,0,3,0,0,1,1,0,0,1,2,186,0.3,0,1,63,RU,1,0.47,0.43,84,0,3.97,0,0,1
https://www.facebook.co,23,0,2,1,1,0,0,0,0,0,2,2558,0.44,1,1,146,DE,0,0.46,0.62,27,0,3.76,0,0,1
http://login-p@yp@l.tk,22,0,5,0,0,1,1,0,1,0,2,216,0.01,0,1,12,RU,1,0.37,0.6,9,0,3.75,0,0,1
https://www.facebook.co,23,0,2,1,1,0,0,0,0,0,0,975,0.47,1,1,182,RU,1,0.84,0.87,276,0,3.76,0,0,0
http://secure-p@yp@l.cf,23,0,5,0,0,1,1,0,1,0,5,112,0.17,0,1,25,US,0,0.01,0.7,206,0,3.88,0,0,1
https://www.netflix.co,22,0,2,1,1,0,0,0,0,0,1,629,0.36,1,1,165,RU,1,0.61,0.4,156,0,3.85,0,0,0
http://update-@pple.gq,22,0,4,0,0,1,1,0,0,1,1,97,0.06,0,1,9,IN,0,0.33,0.72,58,0,3.7,0,0,1
https://www.microsoft.org,25,0,2,1,1,0,0,0,0,0,2,3713,0.24,1,1,36,IN,0,0.16,0.56,177,0,3.75,0,0,0
http://update-f@ceb00k.xyz,26,2,4,0,0,1,1,0,1,1,3,221,0.12,0,1,60,CN,1,0.1,0.94,244,0,4.21,0,0,0
https://www.apple.net,21,0,2,1,1,0,0,0,0,0,1,1924,0.75,1,1,58,FR,0,0.38,0.33,262,0,3.43,0,0,0
http://secure-@m@z1n.tk,23,1,5,0,0,1,1,0,1,1,4,70,0.16,0,1,56,IN,0,0.03,0.54,95,0,4.06,0,0,1
https://www.microsoft.org,25,0,2,1,1,0,0,0,0,0,2,339,0.58,1,1,290,DE,0,0.49,0.87,121,0,3.75,0,0,0
http://verify-gzzgle.tk,23,0,3,0,0,1,1,0,0,1,5,264,0.11,0,1,41,FR,0,0.49,0.59,278,0,3.97,0,0,1
https://www.facebook.net,24,0,2,1,1,0,0,0,0,0,1,1077,0.5,1,1,90,US,0,0.24,0.48,86,0,3.86,0,0,0
http://login-micrlslft.ml,25,0,3,0,0,1,1,0,0,1,3,193,0.04,0,1,92,CN,1,0.08,0.56,249,0,3.89,0,0,1
https://www.google.net,22,0,2,1,1,0,0,0,0,0,2,229,0.8,1,1,288,US,0,0.63,0.79,274,0,3.57,0,0,0
http://login-micrlslft.gq,25,0,3,0,0,1,1,0,0,0,2,247,0.39,0,1,55,FR,0,0.32,0.82,190,0,4.02,0,0,1
https://www.apple.net,21,0,2,1,1,0,0,0,0,0,0,766,0.58,1,1,31,CN,1,0.78,0.51,39,0,3.43,0,0,0
http://login-micr1s1ft.cf,25,2,3,0,0,1,1,0,0,1,5,75,0.03,0,1,49,CN,1,0.41,0.71,48,0,4.05,0,0,1
https://www.amazon.net,22,0,2,1,1,0,0,0,0,0,2,2132,0.3,1,1,164,DE,0,0.02,1.0,231,0,3.66,0,0,0
http://secure-p@yp@l.cf,23,0,5,0,0,1,1,0,0,1,2,70,0.3,0,1,8,DE,0,0.13,0.61,0,0,3.88,0,0,1
https://www.netflix.net,23,0,2,1,1,0,0,0,0,0,2,1771,0.39,1,1,18,IN,0,0.78,0.92,127,0,3.62,0,0,0
http://secure-netflix.tk,24,0,3,0,0,1,1,0,1,1,3,166,0.11,0,1,66,FR,0,0.5,0.97,77,0,3.97,0,0,1
https://www.google.net,22,0,2,1,1,0,0,0,0,0,2,6,0.26,1,1,94,RU,1,0.88,0.35,172,0,3.57,0,0,0
http://verify-f@ceb11k.xyz,26,2,4,0,0,1,1,0,0,1,2,29,0.0,0,1,35,US,0,0.36,0.43,138,0,4.24,0,0,1
https://www.apple.net,21,0,2,1,1,0,0,0,0,0,1,1367,0.69,1,1,214,CN,1,0.61,0.84,159,0,3.43,0,0,0
http://secure-micr1s1ft.xyz,27,2,3,0,0,1,1,0,1,0,4,7,0.21,0,1,2,US,0,0.47,0.77,37,0,4.13,0,0,1
https://www.netflix.org,23,0,2,1,1,0,0,0,0,0,1,3697,0.4,1,1,162,CN,1,0.55,0.94,126,0,3.94,0,0,0
http://verify-netflix.tk,24,0,3,0,0,1,1,0,0,1,5,267,0.01,0,1,54,DE,0,0.2,0.91,64,1,3.92,0,0,1
https://www.facebook.org,24,0,2,1,1,0,0,0,0,0,2,931,0.83,1,1,139,FR,0,0.0,0.69,65,0,3.94,0,0,0
http://secure-gzzgle.tk,23,0,3,0,0,1,1,0,1,0,4,2,0.39,0,1,95,CN,1,0.25,0.54,273,0,3.85,0,0,1
https://www.netflix.com,23,0,2,1,1,0,0,0,0,0,1,3791,0.44,1,1,257,DE,0,0.79,0.22,105,0,3.94,0,0,0
http://secure-f@ceb00k.cf,25,2,4,0,0,1,1,0,1,0,0,197,0.18,0,1,50,US,0,0.11,0.5,215,0,3.94,0,0,1
https://www.facebook.net,24,0,2,1,1,0,0,0,0,0,2,3302,0.46,1,1,95,RU,1,0.24,0.18,145,0,3.86,0,0,0
http://update-netflix.tk,24,0,3,0,0,1,1,0,0,1,5,169,0.0,0,1,62,FR,0,0.49,0.97,146,0,3.85,0,0,1
https://www.facebook.com,24,0,2,1,1,0,0,0,0,0,0,425,0.41,1,1,266,RU,1,0.11,0.6,101,0,3.86,0,0,0
http://verify-micr0s0ft.cf,26,2,3,0,0,1,1,0,1,0,0,64,0.02,0,1,8,FR,0,0.27,0.9,124,0,3.95,0,0,1
https://www.paypal.co,21,0,2,1,1,0,0,0,0,0,0,3075,0.52,1,1,245,US,0,0.17,0.95,139,0,3.56,0,0,0
http://verify-@m@z0n.tk,23,1,5,0,0,1,1,0,1,0,4,137,0.28,0,1,10,RU,1,0.48,0.41,16,1,4.14,0,0,1
https://www.microsoft.com,25,0,2,1,1,0,0,0,0,0,2,2213,0.76,1,1,196,IN,0,0.23,0.28,232,0,3.67,0,1,0
http://secure-micr1s1ft.ml,26,2,3,0,0,1,1,0,0,1,2,218,0.39,0,1,57,RU,1,0.5,0.84,154,0,3.98,0,0,1
https://www.apple.co,20,0,2,1,1,0,0,0,0,0,0,3631,0.31,1,1,282,CN,1,0.7,0.16,33,0,3.55,0,0,0
http://login-f@cebzzk.tk,24,0,4,0,0,1,1,0,1,1,5,201,0.23,0,1,67,RU,1,0.08,0.72,275,0,4.14,0,0,1
https://www.paypal.com,22,0,2,1,1,0,0,0,0,0,0,3739,0.03,1,1,92,IN,0,0.39,0.95,186,0,3.66,0,0,0
http://login-@m@zln.gq,22,0,5,0,0,1,1,0,0,1,4,257,0.08,0,1,74,IN,0,0.12,0.6,111,0,3.91,0,0,1
https://www.microsoft.org,25,0,2,1,1,0,0,0,0,0,0,1757,0.31,1,1,270,US,0,0.51,0.37,196,0,3.75,0,0,0
http://update-@m@zln.gq,23,0,5,0,0,1,1,0,0,1,5,70,0.3,0,1,46,IN,0,0.32,0.6,164,0,4.06,0,0,1
https://www.paypal.net,22,0,2,1,1,0,0,0,0,0,1,1295,0.61,1,1,161,US,0,0.68,0.55,233,0,3.54,0,0,0
http://verify-@pple.ml,22,0,4,0,0,1,1,0,0,1,3,84,0.3,0,1,8,CN,1,0.27,0.9,67,0,3.88,0,0,1
https://www.netflix.co,22,0,2,1,1,0,0,0,0,0,1,616,0.13,1,1,132,DE,0,0.19,0.77,137,0,3.85,0,0,0
http://login-g00gle.ml,22,2,3,0,0,1,1,1,1,1,0,202,0.12,0,1,2,RU,1,0.01,0.45,12,0,3.75,0,0,1
https://www.facebook.co,23,0,2,1,1,0,0,0,0,0,1,2098,0.38,1,1,52,US,0,0.29,0.77,258,0,3.76,0,0,0
http://secure-micr1s1ft.gq,26,2,3,0,0,1,1,0,0,1,2,201,0.13,0,1,88,FR,0,0.25,0.73,117,0,4.06,0,0,1
https://www.paypal.org,22,0,2,1,1,0,0,0,0,0,1,192,0.35,1,1,52,DE,0,0.7,0.29,109,0,3.66,0,0,0
http://verify-p@yp@l.cf,23,0,5,0,0,1,1,0,0,0,3,240,0.19,0,1,46,RU,1,0.3,0.61,127,0,3.88,0,0,1
https://www.facebook.net,24,0,2,1,1,0,0,0,0,0,1,2041,0.52,1,1,62,DE,0,0.0,0.52,152,0,3.86,0,0,0
http://update-@m@zzn.xyz,24,0,5,0,0,1,1,0,1,1,2,67,0.06,0,1,30,CN,1,0.39,0.57,14,0,3.94,0,0,1
https://www.paypal.net,22,0,2,1,1,0,0,0,0,0,0,598,0.29,1,1,26,FR,0,0.23,0.64,165,0,3.54,0,0,0
http://login-p@yp@l.xyz,23,0,5,0,0,1,1,0,1,1,0,68,0.01,0,1,14,CN,1,0.07,0.58,77,0,3.88,0,0,1
https://www.facebook.org,24,0,2,1,1,0,0,0,0,0,1,1483,0.08,1,1,53,CN,1,0.42,0.85,156,0,3.94,0,0,1
http://secure-@m@zzn.xyz,24,0,5,0,0,1,1,0,0,1,5,60,0.11,0,1,86,CN,1,0.06,0.77,196,0,4.05,0,0,1
https://www.paypal.org,22,0,2,1,1,0,0,0,0,0,0,410,0.43,1,1,24,US,0,0.77,0.81,205,0,3.66,0,0,0
http://update-p@yp@l.gq,23,0,5,0,0,1,1,0,1,1,4,112,0.39,0,0,46,CN,1,0.41,0.94,242,0,3.8,0,0,1
https://www.google.net,22,0,2,1,1,0,0,0,0,0,2,666,0.0,1,1,237,IN,0,0.69,0.93,274,0,3.57,0,0,0
http://secure-g00gle.ml,23,2,3,0,0,1,1,1,1,0,4,1,0.31,0,1,43,FR,0,0.09,0.52,56,0,3.88,0,0,1
https://www.netflix.com,23,0,2,1,1,0,0,0,0,0,0,2114,0.81,1,1,18,FR,0,0.82,0.2,40,0,3.94,0,0,0
http://secure-@pple.gq,22,0,4,0,0,1,1,0,1,1,1,193,0.27,0,1,6,RU,1,0.05,0.6,30,0,3.85,0,0,1
https://www.amazon.org,22,0,2,1,1,0,0,0,0,0,2,3176,0.4,1,1,16,CN,1,0.1,0.29,157,0,3.79,0,0,0
http://update-micr1s1ft.gq,26,2,3,0,0,1,1,0,0,1,0,260,0.34,0,1,78,IN,0,0.11,0.57,128,0,4.16,0,0,1
https://www.apple.net,21,0,2,1,1,0,0,0,0,0,2,3523,0.09,1,1,145,FR,0,0.25,0.66,108,0,3.43,0,0,0
http://verify-micr1s1ft.ml,26,2,3,0,0,1,1,0,0,0,2,51,0.34,0,1,89,US,0,0.09,0.94,8,0,4.06,0,0,1
https://www.netflix.org,23,0,2,1,1,0,0,0,0,0,2,1940,0.88,1,1,113,CN,1,0.38,0.15,111,0,3.94,0,0,0
http://update-micr0s0ft.ml,26,2,3,0,0,1,1,0,1,1,5,152,0.23,0,1,45,US,0,0.22,0.68,69,0,4.09,0,0,1
https://www.facebook.org,24,0,2,1,1,0,0,0,0,0,1,2941,0.74,1,1,59,IN,0,0.57,0.77,124,0,3.94,0,0,0
http://secure-p@yp@l.gq,23,0,5,0,0,1,1,0,1,0,0,121,0.38,0,1,16,IN,0,0.05,0.97,2,0,3.97,0,0,1
https://www.facebook.co,23,0,2,1,1,0,0,0,0,0,2,796,0.44,1,1,217,IN,0,0.56,0.21,213,0,3.76,0,0,0
http://update-f@ceb11k.cf,25,2,4,0,0,1,1,0,1,0,0,153,0.15,0,1,39,US,0,0.3,0.65,122,0,3.97,0,0,1
https://www.apple.co,20,0,2,1,1,0,0,0,0,0,1,1040,0.8,1,1,100,IN,0,0.83,0.35,294,0,3.55,0,0,0
http://login-p@yp@l.xyz,23,0,5,0,0,1,1,0,0,1,2,60,0.26,0,1,42,IN,0,0.16,0.62,242,0,3.88,0,0,1
https://www.paypal.org,22,0,2,1,1,0,0,0,0,0,2,2591,0.12,1,1,82,RU,1,0.76,0.22,67,0,3.66,0,0,0
http://update-netflix.cf,24,0,3,0,0,1,1,0,0,0,1,160,0.15,0,1,62,US,0,0.47,0.44,143,0,3.92,0,0,1
https://www.microsoft.com,25,0,2,1,1,0,0,0,0,0,2,1188,0.63,1,1,279,DE,0,0.64,0.83,43,0,3.67,0,1,0
http://secure-gzzgle.cf,23,0,3,0,0,1,1,0,0,1,5,57,0.31,0,1,52,DE,0,0.46,0.44,274,0,3.88,0,0,1
https://www.google.co,21,0,2,1,1,0,0,0,0,0,1,2073,0.73,1,1,204,RU,1,0.03,0.5,70,0,3.56,0,0,0
http://secure-@m@z0n.cf,23,1,5,0,0,1,1,0,0,1,0,212,0.2,0,1,70,DE,0,0.42,0.5,94,0,4.09,0,0,1
https://www.amazon.com,22,0,2,1,1,0,0,0,0,0,1,909,0.07,1,1,122,CN,1,0.81,0.14,131,0,3.7,0,0,0
http://secure-f@ceb00k.tk,25,2,4,0,0,1,1,0,0,0,0,162,0.19,0,1,58,IN,0,0.25,0.58,284,0,3.94,0,0,1
https://www.paypal.net,22,0,2,1,1,0,0,0,0,0,1,218,0.53,1,1,300,IN,0,0.07,0.55,91,0,3.54,0,0,0
http://verify-micr0s0ft.tk,26,2,3,0,0,1,1,0,0,1,2,51,0.12,0,1,19,DE,0,0.01,0.81,183,0,4.01,0,0,1
