URL,url_length,num_digits,num_special_chars,num_subdomains,uses_https,has_phishing_keyword,has_risky_tld,typo_suspected,has_iframe,has_mouseover_script,redirect_count,domain_age_days,page_rank,has_ssl_certificate,dns_record_present,whois_update_days,hosting_country,ip_location_risk,click_rate,bounce_rate,avg_time_on_page,is_phishing
https://tgdct.tk/dashboard/home/index,37,0,5,0,1,0,0,0,1,1,3,15,0.02,0,0,630,FR,1,0.28,0.65,40,1
http://jig.snz.chqxje.tekhf.org/dashboard/home/index,52,0,5,3,0,0,0,0,1,1,0,18,0.27,1,1,170,IN,0,0.3,0.66,15,1
http://rsrb.ngmh.appl3.org/account/verify/dashboard/home/index,62,1,7,2,0,1,0,1,1,0,1,138,0.02,1,0,168,DE,1,0.24,0.64,48,1
http://xqddto.xkfznc.wde.micros0ft.org/secure/login/dashboard/home/index,72,1,7,3,0,1,0,1,1,0,0,103,0.11,0,0,432,US,0,0.09,0.78,5,1
https://hea.ztncq.micros0ft.com/secure/login/dashboard/home/index,65,1,7,2,1,1,0,1,1,1,1,71,0.03,0,0,39,US,0,0.22,0.69,23,0
http://znd.yenpzy.skrj.ywvhb.tk/secure/verify/dashboard/home/index,66,0,7,3,0,1,0,0,1,1,1,158,0.07,0,0,291,US,1,0.02,0.63,42,1
https://uuec.jkwbqq.kiw.bainhm.ml/dashboard/home/index,54,0,5,3,1,0,0,0,1,0,0,152,0.15,1,1,79,KR,1,0.28,0.55,51,1
http://fkbjzg.hssurm.hzpo.vwcqoact.gq/verify/login/dashboard/home/index,71,0,7,3,0,1,0,0,1,0,0,33,0.06,0,1,115,RU,0,0.34,0.74,17,1
https://qkp.g00gle.gq/verify/verify/dashboard/home/index,56,2,7,1,1,1,0,1,1,1,3,66,0.1,1,1,127,BR,1,0.17,0.68,37,1
http://wje.pzrav.aqocn.com/update/dashboard/home/index,54,0,6,2,0,1,0,0,1,0,2,7,0.06,1,0,293,CN,1,0.32,0.84,33,1
https://tola.yrd.irwngxbqvb.org/dashboard/home/index,52,0,5,2,1,0,0,0,0,0,2,23,0.09,1,1,128,BR,1,0.23,0.56,21,1
https://wzvw.xfgcu.net/dashboard/home/index,43,0,5,1,1,0,0,0,1,0,0,37,0.36,0,0,81,IN,1,0.0,0.7,-3,1
https://afiw.jbmfx.org/verify/dashboard/home/index,50,0,6,1,1,1,0,0,1,0,1,3,0.22,0,1,429,US,1,0.2,0.64,21,1
https://pzapiu.net/update/dashboard/home/index,46,0,6,0,1,1,0,0,1,1,2,100,0.18,1,0,180,IN,1,0.11,0.76,73,1
https://amaz0n.org/update/secure/dashboard/home/index,53,1,7,0,1,1,0,1,1,1,0,162,0.04,0,0,129,IN,1,0.29,0.76,5,1
https://uytrhr.teokvhfupi.edu/verify/update/dashboard/home/index,64,0,7,1,1,1,0,0,0,0,0,105,0.13,1,1,377,US,1,0.17,0.78,5,1
https://wbkqfsmgr.xyz/verify/dashboard/home/index,49,0,6,0,1,1,0,0,0,0,3,8,0.3,1,0,77,RU,1,0.28,0.75,35,1
https://ggqtnq.lsgix.dgs.noitlvxlxl.ml/verify/secure/dashboard/home/index,73,0,7,3,1,1,0,0,1,1,3,15,0.3,1,0,31,FR,0,0.13,0.89,39,1
https://mkrusv.znxp.awomyhkxvn.gq/login/account/dashboard/home/index,68,0,7,2,1,1,0,0,1,1,1,112,0.03,1,1,340,IN,1,0.12,0.78,67,1
https://vmtby.quqt.fadd.appl3.com/login/update/dashboard/home/index,67,1,7,3,1,1,0,1,1,1,0,41,0.04,1,0,285,RU,0,0.18,0.97,31,1
https://ksbrqc.wpdzu.amaz0n.tk/secure/dashboard/home/index,58,1,6,2,1,1,0,1,1,1,1,115,0.06,0,1,507,FR,0,0.19,0.69,44,1
https://tzhv.mvpigy.wgmpj.amaz0n.edu/dashboard/home/index,57,1,5,3,1,0,0,1,1,1,4,171,0.07,1,1,214,BR,1,0.08,0.61,33,1
https://wonegkogms.edu/verify/dashboard/home/index,50,0,6,0,1,1,0,0,1,1,2,65,0.24,0,0,80,DE,1,0.31,0.79,17,0
http://sznhc.hjhs.hzos.jlhfsit.ml/dashboard/home/index,54,0,5,3,0,0,0,0,1,0,4,144,0.13,1,1,74,BR,1,0.27,0.62,25,1
http://zdt.ujxh.zgwcbm.xyz/update/verify/dashboard/home/index,61,0,7,2,0,1,0,0,1,0,1,56,0.11,0,0,6,IN,0,0.04,0.65,51,1
http://g00gle.ml/dashboard/home/index,37,2,5,0,0,0,0,1,1,1,0,66,0.2,0,1,9,IN,1,0.07,0.94,66,0
https://loqx.beht.appl3.tk/update/secure/dashboard/home/index,61,1,7,2,1,1,0,1,1,1,4,142,0.09,1,1,591,KR,1,0.19,0.75,47,1
https://nlhzlv.tpafrwpa.com/dashboard/home/index,48,0,5,1,1,0,0,0,1,1,1,15,0.03,1,1,59,CN,1,0.24,0.91,50,1
https://rktacgd.net/update/secure/dashboard/home/index,54,0,7,0,1,1,0,0,1,0,1,39,0.2,0,0,18,KR,0,0.28,0.38,9,1
https://dzpgeo.czxldv.yhskmm.micros0ft.ml/secure/dashboard/home/index,69,1,6,3,1,1,0,1,1,0,0,51,0.05,0,0,84,RU,1,0.33,0.71,76,1
https://itjyw.ogub.svkrvz.iugasvpr.ml/update/dashboard/home/index,65,0,6,3,1,1,0,0,1,0,2,6,0.18,1,1,154,KR,1,0.16,0.86,5,1
https://www.yqxmoq.qxzt.skrem.com/update/dashboard/home/index,61,0,6,3,1,1,0,0,0,0,3,292,0.31,1,1,69,BR,0,0.14,0.64,46,1
https://gkre.cwqg.gqlr.g00gle.com/update/dashboard/home/index,61,2,6,3,1,1,0,1,1,1,0,107,0.15,1,1,59,BR,0,0.26,0.76,15,1
https://zrh.xtv.lhzwcjj.com/account/dashboard/home/index,56,0,6,2,1,1,0,0,1,0,3,134,0.04,1,1,19,BR,0,0.16,0.7,48,1
https://dozn.rdcqbuajdx.org/update/dashboard/home/index,55,0,6,1,1,1,0,0,1,0,3,0,0.36,1,0,541,DE,0,0.14,0.89,51,1
http://gdj.pvycg.qyi.dzwsz.org/verify/login/dashboard/home/index,64,0,7,3,0,1,0,0,0,0,1,35,0.15,1,0,17,CN,1,0.27,0.63,29,1
http://lrtykt.appl3.tk/dashboard/home/index,43,1,5,1,0,0,0,1,0,0,2,38,0.02,0,0,19,BR,1,0.14,0.72,19,1
https://zjx.bhzyv.appl3.edu/dashboard/home/index,48,1,5,2,1,0,0,1,1,0,0,155,0.14,0,1,768,DE,1,0.15,0.63,57,1
http://vguu.micros0ft.gq/login/update/dashboard/home/index,58,1,7,1,0,1,0,1,1,1,0,135,0.11,1,1,122,US,1,0.18,0.7,24,1
http://dkc.mun.faceb00k.org/dashboard/home/index,48,2,5,2,0,0,0,1,1,1,0,11,0.02,0,0,589,BR,1,0.28,0.56,13,1
http://zwlcs.edu/account/dashboard/home/index,45,0,6,0,0,1,0,0,1,1,1,297,0.0,0,0,13,DE,1,0.3,0.75,31,1
https://ilkclr.lpcswqt.gq/update/dashboard/home/index,53,0,6,1,1,1,0,0,1,1,3,88,0.17,1,1,58,FR,1,0.3,0.68,2,1
https://opoidj.net/account/dashboard/home/index,47,0,6,0,1,1,0,0,1,0,1,7,0.69,1,0,207,IN,0,0.24,0.77,59,1
http://uvzv.prs.micros0ft.org/dashboard/home/index,50,1,5,2,0,0,0,1,1,0,3,2,0.08,1,1,630,US,1,0.09,0.73,35,1
http://appl3.tk/dashboard/home/index,36,1,5,0,0,0,0,1,0,1,1,28,0.01,1,1,1025,DE,1,0.23,0.85,36,1
https://tbcl.micros0ft.tk/secure/dashboard/home/index,53,1,6,1,1,1,0,1,1,1,2,53,0.03,0,1,200,FR,1,0.25,0.55,55,1
http://mrbkpahfd.com/dashboard/home/index,41,0,5,0,0,0,0,0,1,1,0,100,0.13,1,0,144,IN,0,0.36,0.8,33,1
https://caiuq.cvgpn.wtfubq.bwbaxwo.net/secure/update/dashboard/home/index,73,0,7,3,1,1,0,0,1,0,1,2,0.14,0,0,26,IN,1,0.29,0.53,58,1
https://faceb00k.ml/dashboard/home/index,40,2,5,0,1,0,0,1,0,0,2,64,0.14,1,0,537,KR,0,0.06,0.53,28,1
https://bvb.pnm.lvq.qqwqdblhhb.tk/account/dashboard/home/index,62,0,6,3,1,1,0,0,1,0,2,35,0.19,1,0,24,DE,0,0.19,0.59,39,1
